TIME_PERIOD,REF_AREA,Out_Degree_Centrality,Trend,Volatility,Express,Inexpress,True_Resilience
2005,ABW,0.7336683417085427,0.7372814731311347,0.0036131314225920086,0.004900613340041665,-5.318190874987725,5.318190874987725
2006,ABW,0.745,0.7349971582352429,0.010002841764757076,0.013609361141986307,-4.296923927624058,4.296923927624058
2007,ABW,0.72,0.7321347423117365,0.012134742311736502,0.01657446588782374,-4.09983163544256,4.09983163544256
2008,ABW,0.7114427860696517,0.7297165790153617,0.018273792945709966,0.025042315703403078,-3.6871483252464086,3.6871483252464086
2009,ABW,0.7412935323383084,0.7268234632309871,0.014470069107321293,0.01990864334923466,-3.916551074213905,3.916551074213905
2010,ABW,0.7263681592039801,0.7196123829721681,0.006755776231812005,0.009388076680822338,-4.668208320647551,4.668208320647551
2011,ABW,0.7227722772277227,0.7065555373096317,0.016216739918091028,0.022951826235542493,-3.7743142025394247,3.7743142025394247
2012,ABW,0.7277227722772277,0.6872060495111941,0.040516722766033575,0.05895862353780631,-2.830902416165431,2.830902416165431
2013,ABW,0.6287128712871287,0.6637117212315663,0.03499884994443758,0.05273200521379165,-2.9425137345776764,2.9425137345776764
2014,ABW,0.6188118811881188,0.6447030297680244,0.0258911485799056,0.0401598059640292,-3.214863734974611,3.214863734974611
2015,ABW,0.6287128712871287,0.633210636426735,0.004497765139606313,0.00710311053046678,-4.94708171450751,4.94708171450751
2016,ABW,0.6287128712871287,0.6281226187410798,0.0005902525460489416,0.0009397091084412156,-6.968876596412627,6.968876596412627
2017,ABW,0.6237623762376238,0.6276074118221032,0.0038450355844794615,0.006126498049658703,-5.0949687608552106,5.0949687608552106
2018,ABW,0.6336633663366337,0.6299278911882179,0.0037354751484157678,0.005930004371404528,-5.127561709082398,5.127561709082398
2019,ABW,0.6287128712871287,0.63273172666432,0.004018855377191266,0.006351594534982706,-5.058891961340707,5.058891961340707
2020,ABW,0.6485148514851485,0.6342642640990521,0.014250587386096414,0.022467902091786337,-3.795623055047339,3.795623055047339
2021,ABW,0.6386138613861386,0.6321278324807059,0.006486028905432706,0.010260628582005485,-4.579343720646357,4.579343720646357
2022,ABW,0.6386138613861386,0.6262048547793488,0.012409006606789785,0.019816209523259375,-3.921204550947904,3.921204550947904
2023,ABW,0.599009900990099,0.6174155185899171,0.01840561759981807,0.029810746645717125,-3.5128527803982,3.5128527803982
2024,ABW,0.6089108910891089,0.6086654525644334,0.00024543852467551197,0.0004032404396231603,-7.81350070945113,7.81350070945113
2005,AFG,0.8341708542713568,0.8266232874778766,0.0075475667934802315,0.009130600247796952,-4.696014326152614,4.696014326152614
2006,AFG,0.84,0.8477683330438153,0.007768333043815301,0.009163273433349403,-4.692442677063284,4.692442677063284
2007,AFG,0.835,0.870120989296711,0.035120989296711036,0.040363339959306264,-3.209808558075954,3.209808558075954
2008,AFG,0.9054726368159204,0.8936459336365105,0.011826703179409925,0.013234215850212132,-4.324874134390946,4.324874134390946
2009,AFG,0.9353233830845772,0.9126884851756863,0.02263489790889084,0.024800244855213413,-3.696861431296232,3.696861431296232
2010,AFG,0.9402985074626864,0.9234862355354174,0.016812271927268974,0.018205221995021486,-4.005991875464566,4.005991875464566
2011,AFG,0.9356435643564356,0.9258983600023053,0.009745204354130288,0.010525134048305285,-4.553894157160587,4.553894157160587
2012,AFG,0.900990099009901,0.922473997371314,0.021483898361412956,0.02328943517392747,-3.7597125102485363,3.7597125102485363
2013,AFG,0.9207920792079208,0.9173215191340685,0.00347056007385238,0.003783362759361094,-5.576877765748651,5.576877765748651
2014,AFG,0.905940594059406,0.911111873044368,0.005171278984962058,0.005675789261403066,-5.171369476954635,5.171369476954635
2015,AFG,0.915841584158416,0.9050712964678285,0.010770287690587521,0.011899932892160126,-4.431138487638155,4.431138487638155
2016,AFG,0.8712871287128713,0.8995986221324713,0.028311493419600042,0.03147125031437743,-3.4586490638090615,3.4586490638090615
2017,AFG,0.905940594059406,0.8968159287968124,0.00912466526259359,0.010174512929130772,-4.587771138198673,4.587771138198673
2018,AFG,0.900990099009901,0.8943154562722309,0.006674642737670156,0.0074634097966863105,-4.897608913851193,4.897608913851193
2019,AFG,0.8861386138613861,0.8911493908121222,0.00501077695073604,0.005622824862360753,-5.180743266075177,5.180743266075177
2020,AFG,0.900990099009901,0.8874378615079093,0.013552237501991748,0.015271195978684265,-4.181721360092293,4.181721360092293
2021,AFG,0.8762376237623762,0.8824992731388961,0.006261649376519851,0.007095359245167711,-4.948173408823454,4.948173408823454
2022,AFG,0.8712871287128713,0.8778203884847058,0.006533259771834499,0.007442592878381666,-4.900401632941485,4.900401632941485
2023,AFG,0.8762376237623762,0.8738861064247176,0.002351517337658593,0.002690873925527008,-5.917517701310097,5.917517701310097
2024,AFG,0.8712871287128713,0.8701360042748182,0.0011511244380530972,0.0013229247294650887,-6.627154673940575,6.627154673940575
2005,AGO,0.8090452261306533,0.8516648291521518,0.042619603021498476,0.050042694687682576,-2.99485876142317,2.99485876142317
2006,AGO,0.95,0.8360705206379808,0.11392947936201914,0.13626778668751877,-1.9931259709988092,1.9931259709988092
2007,AGO,0.78,0.8136570756403702,0.03365707564037013,0.041365185221158556,-3.185291513996731,3.185291513996731
2008,AGO,0.7462686567164178,0.7958340743738029,0.04956541765738509,0.06228109508428039,-2.7760812928217007,2.7760812928217007
