TIME_PERIOD,REF_AREA,Out_Degree_Centrality
2005,UZB,0.7135678391959799
2005,CHL,0.9447236180904522
2005,PRK,0.8994974874371859
2005,EGY,0.9798994974874372
2005,GAB,0.914572864321608
2005,GUY,0.6934673366834171
2005,KEN,0.8391959798994975
2005,MUS,0.914572864321608
2005,MMR,0.6482412060301508
2005,SGP,0.9849246231155779
2005,UGA,0.7889447236180904
2005,ZMB,0.6180904522613065
2005,WXD,0.0
2005,AUT,0.9246231155778895
2005,CAN,0.9849246231155779
2005,FRA,0.9748743718592965
2005,DEU,0.9849246231155779
2005,GRC,0.864321608040201
2005,ITA,0.964824120603015
2005,JPN,0.9849246231155779
2005,NLD,0.9899497487437187
2005,POL,0.8844221105527639
2005,CHE,0.9849246231155779
2005,GBR,0.9849246231155779
2005,USA,0.9899497487437187
2005,AGO,0.8090452261306533
2005,ABW,0.7336683417085427
2005,BEN,0.7035175879396985
2005,CHN,0.9849246231155779
2005,IND,0.9849246231155779
2005,KAZ,0.7788944723618091
2005,MAC,0.8994974874371859
2005,QAT,0.8040201005025126
2005,RUS,0.9195979899497487
2005,SAU,0.9698492462311558
2005,SUR,0.7035175879396985
2005,ARE,0.9195979899497487
2005,AUS,0.9899497487437187
2005,BEL,0.964824120603015
2005,CZE,0.8743718592964824
2005,FIN,0.9396984924623115
2005,HUN,0.8793969849246231
2005,IRL,0.9899497487437187
2005,KOR,0.9798994974874372
2005,LUX,0.9798994974874372
2005,MEX,0.9597989949748744
2005,PRT,0.8844221105527639
2005,ESP,0.9849246231155779
2005,TUR,0.9597989949748744
2005,ATG,0.8040201005025126
2005,BHS,0.949748743718593
2005,BMU,0.9798994974874372
2005,BRA,0.9798994974874372
2005,CYM,0.9095477386934674
2005,HKG,0.9849246231155779
2005,IDN,0.9748743718592965
2005,OMN,0.7989949748743719
2005,ZAF,0.9547738693467337
2005,TWN,0.9798994974874372
2005,THA,0.9748743718592965
2005,BRB,0.9798994974874372
2005,BWA,0.8241206030150754
2005,CUB,0.9698492462311558
2005,GIN,0.3969849246231156
2005,KWT,0.9447236180904522
2005,TJK,0.7085427135678392
2005,UKR,0.9346733668341709
2005,DNK,0.949748743718593
2005,EST,0.7135678391959799
2005,ISR,0.9748743718592965
2005,LVA,0.864321608040201
2005,LTU,0.7688442211055276
2005,SVK,0.7537688442211056
2005,SVN,0.6884422110552764
2005,SWE,0.9698492462311558
2005,AFG,0.8341708542713568
2005,DZA,0.949748743718593
2005,AZE,0.8743718592964824
2005,BHR,0.9597989949748744
2005,BGD,0.6984924623115578
2005,BLR,0.6934673366834171
2005,BIH,0.6733668341708543
2005,BRN,0.6884422110552764
2005,BGR,0.8040201005025126
2005,BFA,0.48743718592964824
2005,HRV,0.864321608040201
