REF_AREA,TIME_PERIOD,Exposure,True_Resilience,FDI,GDP_PC,Internet_Use,CC,GE,PV,RL,RQ,VA
ABW,2005,0.0,5.318190874987725,-8.8049356352136,29081.7066997897,25.4,1.26966309547424,1.28759801387787,1.37641596794128,0.847438395023346,0.864074349403381,1.15323007106781
ABW,2006,0.0,4.296923927624058,8.92046662114826,28885.9118700469,28.0,1.25131320953369,1.27981781959534,1.30346059799194,0.810431301593781,0.855286777019501,1.01727342605591
ABW,2007,0.0,4.09983163544256,-17.5903165005138,29556.8384686554,30.9,1.26187098026276,1.24660122394562,1.28656852245331,0.826464056968689,0.877206325531006,0.972128868103027
ABW,2008,0.0,3.687148325246409,0.664175810874169,29870.6648077005,52.0,1.27677536010742,1.27092468738556,1.3163959980011,0.847226142883301,0.89470237493515,0.967198193073273
ABW,2009,0.0,3.916551074213905,-0.41563759901472,26204.0597361984,58.0,1.10914754867554,1.49665641784668,1.12155425548553,1.42620670795441,1.28930068016052,1.25234353542328
ABW,2010,0.0,4.668208320647551,7.61167220218675,25429.2180974853,62.0,1.12129557132721,1.24645340442657,1.10084736347198,1.41611361503601,1.34483778476715,1.28188371658325
ABW,2011,0.0,3.7743142025394247,18.5057800383246,26093.0542083227,69.0,1.10294651985168,1.23643040657043,1.28573775291443,1.3224583864212,1.31727695465088,1.27358782291412
ABW,2012,0.0,2.830902416165431,-12.0331802180755,25444.7336646687,74.0,1.09523594379425,1.24758815765381,1.26388156414032,1.30978834629059,1.40213143825531,1.2846497297287
ABW,2013,0.0,2.9425137345776764,9.97445713517423,26680.1411206342,78.9,1.11960065364838,1.22108125686646,1.31222629547119,1.29263317584991,1.42087960243225,1.27806329727173
ABW,2014,0.0,3.214863734974611,7.46525460335849,26773.8226808518,83.78,1.01400101184845,0.887494266033173,1.16456782817841,1.0364248752594,1.24536085128784,1.27683234214783
ABW,2015,0.0,4.94708171450751,-0.907264375161604,27458.2201537506,88.6612,1.24830114841461,0.847599267959595,1.21023952960968,1.22713792324066,1.35814249515533,1.27399480342865
ABW,2016,0.0,6.968876596412627,0.923397287531133,27587.2498040483,93.5425,1.23269331455231,0.852905750274658,1.26075851917267,1.2266480922699,1.33574497699738,1.27949273586273
ABW,2017,0.0,5.0949687608552106,5.2533752062728,28548.8904317739,97.17,1.23961400985718,0.875969707965851,1.31384599208832,1.29584264755249,1.18148112297058,1.29565441608429
ABW,2018,0.0,5.127561709082398,4.39981717177271,29419.208623316,,1.20740139484406,1.01341271400452,1.33750987052917,1.25965404510498,0.846328258514404,1.28282356262207
ABW,2019,0.0,5.058891961340707,-2.2478342012416,29699.1805366222,,1.17443084716797,0.987693905830383,1.33580732345581,1.22834599018097,0.846234202384949,1.2625652551651
ABW,2020,0.0,3.795623055047339,6.51718576425329,22729.8897593533,,1.1988273859024,1.07495975494385,1.3715912103653,1.27059960365295,0.914808511734009,1.28185057640076
ABW,2021,0.0,4.579343720646357,4.63553026601194,26292.9179363154,,0.800938904285431,1.08387625217438,1.43172669410706,1.24666583538055,0.93955534696579,1.01815533638
ABW,2022,0.0,3.921204550947904,7.4653342753216,29195.2670227422,,0.756486594676971,1.10521340370178,1.48307979106903,1.27802610397339,0.967042565345764,1.01316380500793
ABW,2023,0.0,3.5128527803982,-3.58459079731401,31430.9353682253,,0.709075331687927,0.795440852642059,1.43252456188202,1.27020680904388,0.946606338024139,1.0191752910614
ABW,2024,0.0,7.81350070945113,2.42051208397071,33373.9174591266,,,,,,,
AFG,2005,0.0,4.696014326152614,4.36867310434287,363.640141436773,1.22415,-1.44725239276886,-1.2288156747818,-2.06750988960266,-1.66296553611755,-1.64344024658203,-1.12542963027954
AFG,2006,0.0,4.692442677063284,3.41377297323201,367.75831169358,2.10712,-1.44629228115082,-1.47365152835846,-2.21913456916809,-1.87900483608246,-1.68946862220764,-1.11029398441315
AFG,2007,0.0,3.209808558075954,1.93570171391636,410.757728879097,1.9,-1.61325109004974,-1.44011056423187,-2.4133734703064,-1.85256004333496,-1.70887231826782,-1.05765390396118
AFG,2008,0.0050949709722149,4.324874134390946,0.45536044478174,417.647282647498,1.84,-1.67209553718567,-1.52779507637024,-2.69136095046997,-1.90330755710602,-1.60716688632965,-1.16890180110931
AFG,2009,0.0050949709722149,3.696861431296232,0.45188914562189,488.830652491949,3.55,-1.55229878425598,-1.50775218009949,-2.71142148971558,-1.87611877918243,-1.66450762748718,-1.37549519538879
AFG,2010,0.0050949709722149,4.005991875464566,1.20311798981139,542.871030476037,4.0,-1.64539110660553,-1.47831559181213,-2.57915186882019,-1.87005805969238,-1.51652824878693,-1.40446734428406
AFG,2011,0.0050949709722149,4.553894157160587,0.293025179616803,525.42698276582,5.0,-1.60047078132629,-1.47410047054291,-2.50205969810486,-1.9225001335144,-1.53632390499115,-1.33597695827484
AFG,2012,0.0050949709722149,3.759712510248536,0.285440893554571,568.929021458341,5.45455,-1.43037283420563,-1.37553513050079,-2.41856145858765,-1.6518931388855,-1.19257974624634,-1.26743006706238
AFG,2013,0.0050949709722149,5.576877765748651,0.239801184405551,580.603833333096,5.9,-1.44596064090729,-1.40146291255951,-2.51934909820557,-1.60975515842438,-1.19309020042419,-1.24013912677765
AFG,2014,0.0050949709722149,5.171369476954635,0.209664794672203,575.146245808546,7.0,-1.36493408679962,-1.36164617538452,-2.41106843948364,-1.4377019405365,-1.12413370609283,-1.13552260398865
AFG,2015,0.0050949709722149,4.431138487638155,0.88400046336123,565.569730408751,8.26,-1.35471308231354,-1.39739489555359,-2.56262516975403,-1.51620066165924,-1.0188262462616,-1.11762809753418
